award_key,funding_agency_name,awarding_agency_cd,awarding_agency_name,funding_tas,tas_sub_account,fiscal_year,fiscal_qtr,input_version,award_type,award_date,award_description, award_amount ,local_amount,project_name,project_description,project_status,job_creation,Cost Per Job,number_of_jobs,total_fed_arra_received,total_fed_arra_exp,total_infrastructure_exp,infrastrucutre_rationale,pop_state_cd,pop_country_cd,pop_city,pop_latitude,pop_longitude,vendor_duns
100368,Federal Highway Administration,6925,Federal Highway Administration,69-0504,,2013,4,null,Grant,1/28/2010,Highway Infrastructure Investment Grants,"18,209,077",18209077,ARRA Giles 61 Replace Bridge over New River/NSRR/460,"The project is located on route 61 in the Town of Narrows, Giles County.  The purpose of this project is to replace the existing structurally deficient bridge crossing the New River, Route 460 and Old Virginia avenue with a new two-lane bridge with two sidewalks, along with the reconstruction of the roadway approaches on both ends of the proposed structure.  ",More than 50% Completed,"Employment retained in the construction industry of site preparation, flaggers, equipment operators, engineers, and construction supervisiors","503,291.24",36.18,15173701.42,15174740.98,15174740.98,"Bridge Replacement, No Added Capacity. Preserve/Create jobs; and economic recovery. Assist those most impacted. Invest in transportation. Stabilize State and local government budgets. ",VA,US,Narrows,37.33311512,-80.80966247,
75450,National Energy Technology Laboratory,89NE,National Energy Technology Laboratory,89-0211,,2013,4,1,Grant,11/16/2009,"The objective of this project is to demonstrate an integrated system of carbon dioxide (CO2) capture in an industrial setting and geologic sequestration in a sandstone reservoir.   The CO2 used in this project is produced by Archer Daniels Midland Company (ADM) as a by-product in the production of fuel grade ethanol.  ADM will capture approximately one million tons of CO2 per year using dehydration and compression.  The compressed CO2 is sequestered in Mt. Simon Sandstone Formation (saline reservoir).  The ethanol plant and the sequestration site are both located in Decatur, Illinois.  ","141,405,945",90090021,CO2 Capture from Biofuels Production and Sequestration into the Mt. Simon Sandstone Reservoir,1. Continued construction of the compressor facility 2. Continued design activities as needed 3. Various project management activities,Less Than 50% Completed,"The jobs created are a mix of engineering, professional, administrative, and various construction positions.","3,946,579.54",35.83,75451699.69,77399473.67,0,,IL,US,Decatur,39.80939626,-88.93077741,
88616,Federal Highway Administration,6925,Federal Highway Administration,69-0504,,2013,4,null,Grant,2/16/2010,Highway Infrastructure Investment Grants,"21,702,923",21702923,ARRA Virginia Beach 165 (Princess Anne Road) 4 Lane Widening,ARRA Virginia Beach 165 (Princess Anne Road) 4 Lane Widening,More than 50% Completed,"Employment retained in the construction industry of site preparation, flaggers, equipment operators, engineers, and construction supervisiors","606,057.61",35.81,21492201.24,21523859.81,21523859.81,"4R Reconstruction, Added Capacity. Preserve/Create jobs; and economic recovery. Assist those most impacted. Invest in transportation. Stabilize State and local government budgets. ",VA,US,Virginia Beach,36.83650303,-76.15974231,
99026,National Science Foundation,4900,National Science Foundation,49-0552,,2013,4,null,Grant,1/15/2010,"The construction of an Advanced Technology Solar Telescope (ATST) is consistent with this mission and was a specific or tacit recommendation of three National Academy of Sciences reports. The ATST would be the world's flagship facility for the study of magnetic phenomena in the solar atmosphere and would be the first large, ground-based, open-access solar telescope in the United States in more than 40 years.  Specific objectives include contracts for: (1) detailed design and fabrication contracts for the ATST telescope, mount, and enclosure systems, (2) contracts for fabrication, polishing, and support of the telescope and ancillary optics, site preparation and excavation, as well as the cost of administering the National Park Service Special Use Permit. Equipment purchased will include a wide range including office equipment, vehicles, lifts and commercial handling equipment. Also included are the master clock synchrobus, optical equipment, computing equipment, and mechanical equipment. Finally, approximately 105 person-years of ATST Project labor costs will also be supported.","146,000,000",60273481.77,Funding  Augmentation for the design and development phase of the advanced technology solar telescope,Recruited and hired additional technical  support personnel.  Issued solicitations for ARRA funded program phases.Secured temporary office location on Maui for centralized operations. ,More than 50% Completed,"(x2) Sr. Opto-Mechanical Engineer - designs and analysis opto-mechanical structures and handling systems                                                                                                                                             Support Facilities Engineer -Supervised Support and Operations facilities design and construction effort Mechanical Engineer -  supervises Telescope Mount Assembly Design and fabrication contractors Enclosure Engineer- supervises Enclosure design and construction contractors                         Software Engineer - provide software development support for Control systems                                    Wavefront Correction Scientist- provide analytic support for mirror development Contracts Manager - Contract management support for the ATST program                                                                                   On-Site Construction Manager supporting the A&E effort   On site Office Administrator supporting construction activities  Scientific Programmer II supporting  the Instrument Control System.  Adaptive Optics Software Engineer - Performs software design and development for ATS Wavefront Correction and Adaptive Optics system requirements.  Adaptive Optics Manager - Manages science and engineering staff, budgets, procurement and scheduling.  Administrative Assistant - Provides administrative and clerical support staff in New Mexico.  Administrative Assistant -  Provides administrative and clerical support staff in ATST Project Office.  Wave Front Corrections Systems Engineer - provide analytic support for WFC Scientist.   Systems Administrator - (1/2 time) Provides IT support, NSO Headquarters, New Mexico.   Electrical Technician  - Provides support to Systems Design engineer for Global Interlock Safety system  Wave Front Corrections Software Engineer - provide software development support for WFC Scientist.   Biologist - provides Environmental Impact Statement compliancy   Facilities Thermal Systems Technical Associate - supports the Facilities Thermal engineer by conducting tests, performing systems analyses and data reduction.  (x3)Resource Technicians - assists Resource biologist with field studies.  Safety Manager - enforces compliancy with OSHA safety regulations  - Program Manager - Coordinates, oversees and manages day to day program operations, delevops schedules and budgets.      - Sr. Systems Engineer  Coordinates, oversees and manages systems development between the various program disciplines   -Administrative Assistant-   Provides administrative and clerical support staff in ATST Project Office.  -Project Scientist- Coordinates all science related aspects of the project. Interfaces with project partners and senoir project staff.  Sr. Optical Engineer  -  Performs  design and development for ATS Wavefront Correction and Adaptive Optics system requirements.  - Facility Management Systems(FMS) Engineering Associate - Assists FMS Lead Engineer in the design and testing of the Observatory's thermal managment systems.  -Assistant Construction Manager (Maui)  - assists Site Construction Manager in all aspects of construction activities and provides on-site back-up  as needed.  - Software Engineer - designs and develops software applications for the ATST control systems  -   - Software Engineer II- designs and develops complex software applications for the ATST control systems. Supervises less experienced software engineers.    On-site Laborer - performs 'as needed' semi-skilled tasks under the direction of the Site Construction Manager   Mechanical Systems Engineer (Maui) - Assists the Lead Mechanical Engineer in  the final assembly and installation of the Telescope Mount Assembly   On Site Labor - performs 'as needed' semi-skilled tasks under the direction of the Site Construction Manager   ","4,094,223.22",35.66,84871182,84871182,0,,DC,US,Washington,38.900404,-77.028863,
104510,Department of Energy,8900,Department of Energy,89-0328,,2013,4,1,Grant,6/2/2010,"This Department of Energy (DOE) Smart Grid Investment Grant (SGIG) award is funding 50% of the FirstEnergy Service Company's Smart Grid Modernization Initiative (SGMI) project.  The SGMI project will evaluate technologies intended to improve the reliability and operation of the Company's electric distribution system in three states.  The SGMI project is classified as an integrated cross-cutting system because it aims to add smart grid functions to multiple portions of FirstEnergy's electric system.  SGMI involves test projects in suburban communities east of Cleveland served by the Cleveland Electric Illuminating Company (CEI); the York, Pennsylvania area served by Metropolitan Edison Company (Met-Ed), and a number of communities throughout the Jersey Central Power & Light (JCP&L) service area.  The technologies being deployed are as follows:  Distribution automation is being deployed for the CEI (Ohio), MetEd (Pennsylvania) and JCP&L (New Jersey) test projects.  Volt/VAR control is being deployed for the CEI (Ohio) and Met-Ed (Pennsylvania) test projects.  For the Met-Ed (Pennsylvania) and JCP&L (New Jersey) test projects, an integrated distributed energy resource control platform for direct load control will enable customer participation in demand reduction.  A Consumer Behavior Study involving a dynamic pricing program is also being deployed as part of the CEI (Ohio) test project to enable consumer participation in demand reduction and energy efficiency efforts.","57,470,137",57470137,FirstEnergy Service Company - Smart Grid Modernization Initiative,"This is FirstEnergy’s final report.  FirstEnergy expects to use the entire grant award and the remaining funds will be invoiced before grant closeout.  Q3 2013 FederalReporting.gov ARRA report was submitted on October 11, 2013.  Q3 2013 SF-425 Federal Financial Report was sent to the Technical Project Officer on October 14, 2013; Q3 2013 Build Metrics report was submitted to Data Hub on October 31, 2013.  Rebaseline of the project cost and schedule was submitted September 30, 2013 to reflect a revised no cost implementation date extension.  Distribution Automation & Volt/VAR Control (OH/PA/NJ) status: Network communications deploying 1.4 GHz leased spectrum supplemented with 900 MHz CDMA; also authorized an additional wireless communications network mesh solution for a four circuit pilot within the original CEI footprint. An enhanced distribution management software platform is nearing final acceptance.  Initiated a five circuit distribution automation pilot at JCP&L.  Consumer Behavior Study (OH) status:  Phase II AMI network nearing completion and all meters installed (approximately 30,000).  Integrated Distribution Energy Resource (IDER)/Direct Load Control (PA/NJ) status: Pennsylvania Utilities Commission ceased operations for all state wide demand response programs operated during 2012 which included the Met-Ed IDER.  Approximately 43% of the JCP&L IDER customers have cancelled participation since inception in 2009, however load curtailment commitments to PJM remain for 2014 and 2015.  Given that decreased generation costs have significantly impacted benefits, the NJ Board of Public Utilities has discouraged operation of the program after 2015.",Completed,"A total of 24.67 jobs internal to FirstEnergy were retained across the following labor categories for the 4th quarter ended December 31, 2013:  2.52 Analysts, 0.35 Business Occupations, 3.66 Computer Related Occupations, 12.70 Construction, Electrical and Other Trades, 2.89 Engineers, 1.27 Managers and 1.28 Recording, Scheduling, Computer Operator Occupations.  A total of 0.95 vendor jobs were created in the following areas for the same period:  0.52 Analysts and 0.43 Business Occupations.  A total of 10.02 vendor jobs were retained in the following areas for the same period:  2.57 Analysts, 1.66 Business Occupations, 1.56 Computer Related Occupations, 2.17 Construction, Electrical and Other Trades, 1.04 Engineers, 1.00 Managers, and 0.02 Recording, Scheduling, Computer Operator Occupations.  Total jobs created and retained with ARRA funding for the quarter ending December 31, 2013 = 35.64.","1,612,517.87",35.64,41730882.5,48034382.55,0,,OH,US,Akron,41.082875,-81.517872,
20758,Federal Highway Administration,6925,Federal Highway Administration,69-0504,,2013,4,null,Grant,9/21/2009,Highway Surface Transportation and Technology Training,"1,200,000",1200000,94473,Statewide Wounded Veterans Intership Program.,Completed,"Employment retained in the construction industry of site preparation, flaggers, equipment operators, engineers, and construction supervisiors","33,965.47",35.33,1199999.29,1199999.29,1199999.29,Training. Preserve/Create jobs; and economic recovery. Assist those most impacted. ,VA,US,Richmond,37.53805624,-77.42937698,
94025,Federal Highway Administration,6925,Federal Highway Administration,69-0504,,2013,4,1,Grant,1/22/2010,Highway Infrastructure Investment,"49,634,873",49634873,I-405/SR-22 HOV Connector,This is a Traffic Management Engineering project by the California Department of Transportation.  The project is described as:  Provide direct HOV Connection between SR-22 and I-405.,More than 50% Completed,"Jobs are created or retained in the construction and construction management industry such as laborers, equipment operators, electricians, project managers, support staff, inspectors, engineers, etc.","1,408,081.50",35.25,49394047.27,49394047.27,49394047.27,(2) To assist those most impacted by the recession.,CA,US,Irvine,33.670502,-117.840308,
128652,Federal Railroad Administration,6930,Federal Railroad Administration,69-0718,N/A,2013,4,1,Grant,9/21/2011,"The project provides new rail access to the Port of Vancouver east of the congested BNSF Vancouver Wye intersection. The project connects to the BNSF/City of Vancouver Waterfront Access Project east of the port on the Fallbridge Subdivision.  The new rail connection will pass under BNSF's Columbia River Bridge and includes a 'rail trench' built on a pile-supported trestle with protective sidewalls.  At the west end of the trench, the track will ascend along the river bank and connect with existing Port yard tracks.  The connection to existing port tracks will require the demolition and ultimate relocation of industrial facilities within the port.","15,000,000",0,Vancouver-Port Access Rail Improvements,"Trench Construction is approximately 40% complete and other project elements are well underway.  All of the H-pile located below the “Ordinary High Water Mark” is finished with five of thirteen concrete pours to construct the base of the structure in place.  Each base structure pour is 500 CY taking approximately 8 hours to complete.  Two cast-in-place monolithic wall pours have been completed with related pile and sheet pile driving continuing on the project’s east end.   The project is on schedule and no problems have been identified.  Asbestos abatement in preparation for the malting drumhouse demolition was completed in October, 2013 by Performance Abatement Services of Vancouver, Washington.  Five bids were received for the demolition of the malting drumhouse;  Rhine Demolition of Tacoma, Washington submitted the low bid at $3,910,677.26.  Rhine Demolition began work with mobilization and site preparation on December 9, 2013.  The reconfiguration of the Lafarge Pipe Bridge carrying cement product was initiated during this reporting period.  Ten bids were received on November 21, 2013, with Hamilton Construction of Springfield, Oregon  submitting low bid at $2,046,725.12.  The Port of Vancouver Board of Commissioners awarded the contract to Hamilton Construction on December 10, 2013.  Work on the Lafarge Pipe Bridge will begin in January 2014. ",Less Than 50% Completed,"People employed for this work includes the following:  truck drivers (dump truck/heavy equipment delivery/vancuum); heavy equipment operators (tractors/backhoe/pile drivers/concrete pump); inspectors; roadway flagmen; engineers; hazardous materials handlers; concrete finishers; concrete labors; grade checker; general laborer, pipe layer; service oiler; power equipment operator-broom self-propelled; heavy duty mechanic; cement mason; welders; carpenters; rod carriers & mason tenders; painters; iron workers; asbestos abatement workers, surveyors, electricians, pipe layers, fence erectors, concrete saw operators, crane operators, administrative and management staff. ","427,472.21",35.09,2963893.73,2963893.73,2963893.73,"Project creates and supports jobs and provides economic benefit.  Significant investment that builds and preserves passenger rail system infrastructure.  To preserve and create jobs and promote economic recovery.  To invest in transportation, environmental protection, and other infrastructure that will provide long-term economic benefits.",WA,US,Olympia,47.033977,-122.897053,
30622,Department of Energy,8900,Department of Energy,89-0331,,2013,4,null,Grant,8/17/2009,EECBG Program. Recovery Act,"3,981,900",3981900,Activity 4: Install gas to electric turbines at the adult detention facility,CHP unit assembly complete. Unit loaded and ready for delivery. Anticipated delivery date 6 January 2014.,Less Than 50% Completed,"electricians, electricians apprentice, pipefitters, welders, plumbers, laborers, architects, designers, controls technicians.","113,768.57",35,3934715.98,3863136.98,0,,AZ,US,TUCSON,32.221688,-110.973425,
88137,Rural Business Cooperative Service,1.20E+05,Rural Business Cooperative Service,2-Dec,,2013,4,null,Grant,3/5/2010,"Grant will support the development of small & emerging private business enterprises in the City of Viroqua through a revolving loan fund.  Grant will be matched with $10,000 in local funds. Loans will preserve and create jobs and promote economic recovery.","90,000",90000,City of Viroqua Revolving Loan Fund Program,"We are actively working with potential prospects. Also, continue marketing the loan fund through the City of Viroqua, Vernon Economic Development Assn., and the Viroqua Chamber Main Street.",More than 50% Completed,Two jobs saved and four jobs to be created by the Ewetopia Fiber Shop retail project on Main Street and 12 jobs saved and 7 jobs created at Center Point Counseling Services Cooperative in Viroqua. Dave's Pizza project saved 4 jobs and created 6 jobs.,"2,571.43",35,79200,79200,0,,WI,US,Viroqua,43.55717639,-90.88943243,
112752,Rural Utilities Service,1.20E+03,Rural Utilities Service,26-Dec,,2013,4,null,Loan,7/30/2010,"(Loan Only) Water Only - 09/10 Stimulus-Purchase 160 acres of land and develop 2 water wells with a backup generator, construct a 870,000 gallon ground storage tank and 910,000 gallon standpipe. 2 existing standpipes will be re-painted.  65 miles of water line ranging in size from 4'-12' will be installed.  40 new customers will be added as part of the project.","12,539,000",12539000,2010 Water System Improvements,Construction started and going well getting close to being complete.,More than 50% Completed,21 Laborers and 10  heavy equipment operators 4 foremen,"358,257.14",35,12062696.94,12062696.94,12062696.94,Water system improvement and create water service for 40 new customers,OK,US,Amber,35.12822102,-97.79135154,
119415,Rural Utilities Service,1.20E+03,Rural Utilities Service,12-1232,,2013,4,null,Grant,9/20/2010,"VTel Wireless, Inc (VTW) is a subsidiary of Vermont Telephone Company, Inc. (VTC), proposing to offer a combination of fiber-optic cabling run directly to homes (FTTH) and wireless broadcast to homes and mobile end-users. The wireless portion of the VTW network utilizes several FCC licensed wireless frequencies, including the 700MHz, AWS, BRS, and PCS bands to provide high-speed Internet and telephony services. The FTTH portion utilizes an Active-Fiber design, providing high-speed Internet, video, and telephony services. Through its proposal, VTW intends to serve consumers in rural Vermont and portions of New York, with some incidental wireless coverage into New Hampshire.  Project Description: Wireless Open World (WOW) VTel Wireless, Inc. is building 4G LTE wireless broadband to  unserved anchor institutions, unserved homes, and unserved businesses throughout Vermont, and parts of NY and NH near VT.  We also propose to extend our use of GigE over active fiber to some regions and institutions.  Total project cost $81,664,754 Grant, $35,166,081 Loan, $30,000,000 Equity","81,664,754",81664754,"Wireless Open World (WOW) by VTel Wireless, Inc.","To date we have received approval for construction contracts on thirteen of the thirteen exchanges in the project (one exchange is aerial only).  The total fiber to be constructed is around 1,200 miles, with approximately 930 miles completed. VTel has secured access to fiber cable through an agreement with a supplier for up to 100 miles of cable per month. The new voice switch is installed, running, and passing calls. We continue to migrate services from the old voice switch to the new one. Turn-up of the fiber-to-the-home core electronics equipment is underway and we are nearing the end of construction on the IPTV video head-end.  We continue to cutover customers. The wireless component of the project is progressing. Wireless site acquisition continues with 8 full time staff engaged.  The wireless equipment core is installed.  The first wireless site came online in Q2 (the first week in April) and we now have 21 sites on-air; 16 with a Notice to Proceed and another 20 sites under construction.",Less Than 50% Completed,We are working in 13 exchanges but the ban on burying in towns has slowed our construction considerable. We have 36 wireless sites so the number of jobs has ticked up a bit in that regard.,"2,346,688.33",34.8,37228276.75,47365295.18,47365295.18,"This project will preserve and create jobs for engineering and construction personnel who construct the network. Additionally, the project provides a telecommunications network that can be leveraged by Vermont residents and businesses to allow our communities to gain the benefits of telemedicine, distance learning, eBusiness.  Access to the 'global economy' via the internet will allow small business to develop a wider market and make these 'connected areas' more attractive to prospective business owners.",VT,US,Springfield,43.31793361,-72.50419466,
113697,National Telecommunication and Information Administration,1341,National Institute of Standards and Technology,13-0554,,2013,4,null,Grant,9/13/2010,"With more than a dozen years of experience providing social services via technology to low-income and non-English-speaking residents, Technology for All proposes a significant enhancement of its public computer centers across Texas. The project plans to provide computer access, technical support, digital literacy, workforce development, and other services to low-income and vulnerable populations via more than 60 centers across southwest Texas, Houston, Austin, San Antonio, Duval County, and small rural communities in the Texas Brazos Valley. Centers will be located in both urban and rural areas of Texas at libraries, workforce development centers, public housing facilities, and other community locations. The applicant hopes to use this project to lay the groundwork for a future statewide broadband access program.  Total Award: $9,588,279  ","9,588,279",6941648.59,Texas Connects Coalition (TXC2),"During this quarter, the Texas Connects Coalition (TXC2) continued the close-out process in earnest. All planned workstations have been deployed and the Coalition has exceeded the expected number of available workstations as well as the total number of PCC sites for the project. All Public Computer Center sites have  finished their active engagement with the BTOP project. The sites will continue to utilize the BTOP provided computer workstations and other technology tools to offer public computer access in their local communities. ",More than 50% Completed,"The Texas Connects Coalition experienced steady job decreases this quarter due to attrition as the end of the project completed the final quarter.  Of the 34.48 FTEs during the quarter, 22.43 are Program Specialists, responsible for all of the day to day interaction and facilitation of the training programs at the PCCs. Two (2) FTEs are Training Managers who help develop and plan training programs across the TXC2 network. The remaining 9.95 FTEs are administrative personnel for the project, including personnel responsible for developing sustainability plans for TXC2 upon the completion of the BTOP project.","278,082.34",34.48,9387280.27,9490254.52,0,,TX,US,Houston,29.70770671,-95.27806869,
105550,Federal Transit Administration,6955,Federal Transit Administration,69-1101,,2013,4,null,Grant,8/20/2009,Bus capital maintenance equipment (spare bus parts); acquire 3 support vehicles; acquire 70 bus shelters; continue Intelligent Transportation System installation,"3,155,510",3155510,FTA Transit Capital Grant,Continued installation and testing of Intelligent Transportation System (GPS Automatic Vehicle Locator System),Completed,Construction jobs associated with facility renovation; engineering positions associated with Intelligent Transportation System start up,"91,650.01",34.43,3155510,3155510,0,,MI,US,Kalamazoo,42.2962703,-85.58484434,
113367,Rural Utilities Service,1.20E+03,Rural Utilities Service,26-Dec,,2013,4,null,Loan,9/8/2010,"Milton Regional Sewer Authority Wastewater to Energy (Ww2E)Project.  Investment in public wastewater upgrades which will provide nutrient removal to comply with the Chesapeake Bay requirements and adequate capacity for an energy efficient and cost effective project.  In addition, funds will be used to make upgrades to include a new anaerobic treatment system, an new biosolids dryer, new energy recovery facilities, new headworks facilities, a nutrient reduction technology upgrade to the secondary treatment facility, new aerobic digester facilities, a new utility water system and a new trucked in waste receiving facility. ","34,132,400",34132400,Wastewater to Energy Project,"Construction of the structures and tanks continued in the months of October, November and December with some schedule recovery in the early part of the quarter.  There was 1,932 cubic yards of concrete poured in October and November.  Most of the concrete was for the VLR (Vertical Loop Reactor) base slab, B-18 (Energy Recovery) wall sections and the 1st floor slab for B-17 (Blower Building).  The CHP (methane) working pads were also poured.  Progress was shown with the CHP system tank installation and process pipe installations.  Some of the internal pipe work and backfilling was completed in B-17/18 structures.  Masonry work commenced in November for the B-17 structure and by the end of the time period was 80% completed.   There was good progress on B-19/TIW (Trucked-in-Waste) structure and as of the end of the quarter the building was up and ready for a close-in inspection.  The cover for T-23/BVF tank and seeding process for the reactor tank was completed in late October.  The feeding process began in November with the MRSA staff assuming some Operation and Maintenance duties in B-16 (Anaerobic Control) and with the reactor tanks at that time.  In early November, the MRSA began diverting waste flow from ConAgra to the BVF reactors.  A request was received for a Substantial Completion inspection on the BVF process in late December.  Some progress was shown for B-15 (Headwork?s) with equipment, working platforms and the T-43/Odor Control Bio-filter moving ahead.  By the end of December, more than 200 VLR wall panels had been installed and will now await the proper temperature for the panel joints to be grouted and sealed with the post-tensioning cables slated for installation in early January 2014.  The quarter also showed the completion of the deep foundation systems for T-31/32 Clarifier tanks and the S-13 structure.",Completed,"Retained engineers,legal counsel and contractors.","991,644.39",34.42,34132400,34132400,0,,PA,US,Milton,41.00600465,-76.86179191,
98806,National Institutes of Health,7529,National Institutes of Health,75-0847,0,2013,4,1,Grant,3/31/2010,"This ARRA C06 project will renovate more than 40,000 gross square feet of existing space in the heart of the UCLA biomedical campus to create the Integrative Phenotyping Center for Neuropsychiatry (IPCN). High-throughput strategies for deep and technically demanding phenotype assessments are critically necessary to achieve breakthroughs in the understanding, prevention, and treatment of severe disorders of brain and behavior. The IPCN will advance the research and training missions of the UCLA Semel Institute, one of the world's leading centers for neuropsychiatry. It will further enhance opportunities for interaction and collaboration of at least 180 researchers who will conduct more than 40,000 hours of human phenotyping each year within the new facility. The IPCN project is employing a flexible design, enabling reconfiguration of research space as scientific considerations evolve, and is involving a high degree of sustainability in design, construction, and operation stages. The IPCN project is advancing the goals of the Recovery Act by creating and maintaining American jobs directly in its design and construction, and will continue these goals by preserving and potentially expanding the grant support on which the UCLA Semel Institute depends. ","14,920,230",14920230,THE INTEGRATIVE PHENOTYPING CENTER FOR NEUROPSYCHIATRY AT UCLA                                                                                        ," The project is in its final phase of construction. Work completed within the 5 research wings includes installation of carpet tile, ceiling grid, mechanical, electrical and plumbing utilities, doors, hardware, first coat of wall paint and terrazzo flooring in corridors and elevator lobbies. Building HVAC systems such as the mechanical air handler, heating and cooling systems and variable air volume components are fully functional. New fire alarm components and fire sprinkler systems are fully installed and are awaiting final testing and inspection. The new data room on C level has been completed. The balance of work to finish in the next quarter includes installation of ceiling tiles, erection of demountable walls, and installation of miscellaneous case work and stainless steel toilet partitions.    While the C06 has no personnel budget per se, architectural, engineering, administrative and legal expenses are included, as well as the demolition and construction costs which constitute the bulk of the budget. UCLA Capital Programs personnel devote both technical and administrative time to this project, some of which is covered by institutional funds and some of which is recharged to the grant. Institutional funds support the effort that UCLA faculty and staff devote to this project. A part-time Project Assistant, funded entirely from institutional funds, has been hired specifically for this project. Since effort expended results from the receipt of this ARRA-funded grant, all are counted below as jobs created or retained.",More than 50% Completed,"UCLA is a world-class educational institution in the midst of an unprecedented financial crisis that threatens our mission to provide education, research and public service benefiting millions of people. ARRA funding to the University has enabled the creation and retention of jobs to support vital scientific research and training activities that would otherwise be severely constrained or eliminated through budget cuts. The type(s) of jobs  created and retained by this ARRA-fund award includes: Faculty and Investigator positions.; Scientific/Technical Professionals and Staff positions, such as Researchers, Post-Docs, Graduate Student Researchers, Project Managers and Statisticians.; Non-Scientific Support Staff positions, such as Analysts, Assistants, and Clerks, if budgeted and approved.","435,118.99",34.29,12133126.7,12767052.79,10284178.62,"This project serves both Purpose 1, to preserve and create jobs and promote economic recovery, and Purpose 3, to provide investments needed to increase economic efficiency by spurring technological advances in science and health.  This ARRA-funded project that will renovate more than 40,000 gross sq. ft. of existing space in the heart of the UCLA biomedical campus to create the Integrative Phenotyping Center for Neuropsychiatry (IPCN) advances the goals of the Recovery Act by creating and maintaining American jobs directly in its design and construction.  In addition, by creating a novel, flexible, state-of-the-art phenotyping research facility, it will preserve and expand jobs supported via the public and private research grants and contracts upon which the Semel Institute for Neuroscience and Human Behavior depends.",CA,US,Los Angeles,34.068531,-118.444861,
116485,Office of the Assistant Secretary for Administration and Management,1605,Office of the Assistant Secretary for Administration and Management,16-0167,,2013,4,null,Contract,9/30/2010,The American Recovery and Reinvestment Act (ARRA) subsidizes premiums of COBRA health insurance continuation coverage for workers who were laid off during an eligibility period. The study will examine the effect of the availability of the subsidy on take-up of COBRA coverage. Mathematica  will use state Unemployment Insurance claims data to identify involuntarily terminated workers who may be COBRA-eligible and screen for and survey individuals who were subsidy-eligible and similar individuals who were laid off outside of the eligibility period. Mathematica will use these data to compare health insurance coverage (and type) among those who were eligible for subsidies and those who were not. The study will also provide a broader portrait of health insurance decisions of the unemployed.,"3,499,443",3499443,,"Mathematica's significant activities this quarter included the conclusion of the administrative data collection efforts, validation of the administrative data, survey data collection, and analysis of preliminary survey data. During the quarter, we conducted preliminary phone screenings with 4,448 individuals and completed 1,527 full interviews. ",More than 50% Completed,"RESEARCHER (0.31 FTE): Conducts research projects involving process, empirical or theoretical analysis. Draws policy implications from analytical results utilizing advanced professional skills. SURVEY RESEARCHER (0.81 FTE). Directs and manages surveys and other data collection and reporting efforts to inform research and evaluation projects.   PROJECT MANAGER (0.02 FTE):  Participates in the planning of all phases of a project and assists in the specification of resource and technical requirements.  PROGRAMMER (0.48 FTE): Assists staff in the conduct of projects by performing programming and other computer-related tasks. SECRETARY/CLERICAL (1.69 FTE): Performs typing, clerical, and other administrative duties in support of project operations. STATISTICIAN (0.12 FTE): Develops and implements specifications for frame development, sample selection, weighting, imputation for missing data, and variance estimation.  SURVEY ASSOCIATE (0.26 FTE): Supervises on-call survey staff. Provides assistance in pre-testing questionnaires and in developing survey forms. SURVEY OPERATIONS CENTER SUPERVISOR (1.68 FTE): Recruits, trains, and supervises on-call survey staff. SYSTEMS ANALYST (0.24 FTE): Leads systems tasks which include the assessment, design, implementation, and maintenance of automated systems.  RESEARCH ASSISTANT/PROGRAMMER (0.01 FTE): Performs research tasks such as statistical analysis of data, preparation of charts and graphs, and literature searches. DATA COLLECTION STAFF (28.39 FTE): Collects data by  conducting either interviews or observations. SURVEY OPERATIONS CENTER MANAGER (0.09 FTE):  Manages the day to day operations of the SOC to ensure the completion of projects on time, on budget and per specifications. BUSINESS REQUIREMENTS ASSOCIATE (0.01 FTE): Assists senior staff in the documenting of business processes and requirements. COMMUNICATIONS SPECIALIST (0.03 FTE): Plan, research, write, and edit a wide variety of print and electronic publications, including news releases, website articles, and reports.PROGRAM ANALYST (0.12 FTE): Carries out aspects of larger systems and data analysis projects under the direction of more senior staff.","102,143.70",34.26,2683164.73,,,,NJ,US,Princeton,40.32111045,-74.6327305,
