Book,Character,Start Page,EndPage,PageCount
A Storm of Swords,Jaime,842,856,14
A Storm of Swords,Davos,857,867,10
A Storm of Swords,Jon,868,882,14
A Storm of Swords,Arya,883,893,10
A Storm of Swords,Tyrion,894,911,17
A Storm of Swords,Jaime,912,926,14
A Storm of Swords,Sansa,927,945,18
A Storm of Swords,Jon,946,959,13
A Storm of Swords,Tyrion,960,976,16
A Storm of Swords,Daenerys,977,995,18
A Storm of Swords,Jaime,996,1010,14
A Storm of Swords,Jon,1011,1026,15
A Storm of Swords,Arya,1027,1041,14
A Storm of Swords,Samwell,1042,1052,10
A Storm of Swords,Jon,1053,1061,8
A Storm of Swords,Tyrion,1062,1073,11
A Storm of Swords,Samwell,1074,1086,12
A Storm of Swords,Jon,1087,1097,10
A Storm of Swords,Sansa,1098,1115,17
A Storm of Swords,Epilogue,1116,1128,12
A Feast of Crows,Prologue,1,21,20
A Feast of Crows,Aeron Greyjoy,22,41,19
A Feast of Crows,Martell,42,64,22
A Feast of Crows,Cersei,65,79,14
A Feast of Crows,Brienne,80,100,20
A Feast of Crows,Samwell,101,123,22
A Feast of Crows,Arya,124,139,15
A Feast of Crows,Cersei,140,163,23
A Feast of Crows,Jaime,164,183,19
A Feast of Crows,Brienne,184,205,21
A Feast of Crows,Sansa,206,225,19
A Feast of Crows,Asha Greyjoy,226,243,17
A Feast of Crows,Cersei,244,262,18
A Feast of Crows,Arys Oakheart,263,282,19
A Feast of Crows,Brienne,283,305,22
A Feast of Crows,Samwell,306,321,15
A Feast of Crows,Jaime,322,337,15
A Feast of Crows,Cersei,338,361,23
A Feast of Crows,Victarion Greyjoy,362,378,16
A Feast of Crows,Aeron Greyjoy,379,397,18
A Feast of Crows,Brienne,398,423,25
A Feast of Crows,Arianne Martell,424,444,20
A Feast of Crows,Arya,445,466,21
A Feast of Crows,Sansa,467,489,22
A Feast of Crows,Cersei,490,516,26
A Feast of Crows,Brienne,517,536,19
A Feast of Crows,Samwell,537,556,19
A Feast of Crows,Jaime,557,583,26
A Feast of Crows,Cersei,584,607,23
A Feast of Crows,Victarion Greyjoy,608,633,25
A Feast of Crows,Jaime,634,655,21
A Feast of Crows,Brienne,656,673,17
A Feast of Crows,Cersei,674,693,19
A Feast of Crows,Jaime,694,717,23
A Feast of Crows,Arya,718,739,21
A Feast of Crows,Samwell,740,753,13
A Feast of Crows,Cersei,754,777,23
A Feast of Crows,Brienne,778,799,21
A Feast of Crows,Jaime,800,818,18
A Feast of Crows,Cersei,819,837,18
A Feast of Crows,Arianne Martell,838,863,25
A Feast of Crows,Sansa,864,896,32
A Feast of Crows,Brienne,897,916,19
A Feast of Crows,Cersei,917,939,22
A Feast of Crows,Jaime,940,958,18
A Feast of Crows,Samwell,959,976,17
